1731936047.0856295,4372987,3723806,4008494,4388054,2083253,1392939,4857180,4921297,4913699,6403688,4780990,3477025,5979620,5803699,5181043,5212274,3697773,1531517,6428226,4627871,5341825,4643328,5367959,1821676,0
1731936047.086971,4360957,3709255,3993376,4361992,2083364,2234427,4822000,4862226,4874274,6403904,4722804,4324170,5950304,5724037,5132217,5154511,3588649,2511625,6399392,4510343,5282795,4424892,4756201,2944405,0
1731936047.088527,4340966,3692926,3975001,4340877,2083367,2964769,4783879,4805634,4818913,6405960,4691591,4956806,5906547,5643590,5069428,5099355,3509614,3336677,6403013,4419987,5208109,4249918,4203876,3814329,0
1731936047.0900621,4306367,3666263,3944717,4282591,2083432,3577819,4722212,4741547,4762627,6355923,4615941,5401620,5867255,5554789,5004337,5013717,3407375,4008997,6406004,4333501,5136860,4084745,3729340,4461691,0
1731936047.091656,4250649,3626722,3889453,4222349,2083397,4092047,4652758,4667299,4677408,6134306,4554186,5690969,5813030,5455729,4909910,4923595,3321557,4554268,6410146,4246781,5033780,3935821,3287063,4918862,0
1731936047.0932488,4178563,3575832,3838107,4151178,2083340,4500309,4558832,4579810,4599987,5937617,4472305,5846822,5760515,5350681,4829608,4827911,3227262,4957588,6413387,4150254,4945707,3802414,2879161,5205807,0
1731936047.0948386,4125789,3541676,3797483,4111477,2083358,4821449,4499785,4517181,4538366,5754542,4430544,5945698,5711964,5261347,4758895,4761829,3173351,5255395,6415519,4084713,4869658,3704385,2477568,5365006,0
1731936047.0962346,4082367,3514741,3772703,4068056,2083361,5067301,4444077,4458012,4490560,5568515,4370300,6004130,5675070,5184846,4711383,4697183,3109667,5461387,6417453,4026394,4813431,3619525,2146996,5439465,0
1731936047.097371,4051373,3488658,3743379,4037565,2083352,5255476,4398663,4405270,4441308,5367510,4325326,6031722,5639628,5111527,4653624,4642769,3062162,5596129,6419004,3976273,4751627,3543688,1795807,5446721,0
1731936047.0985239,4006781,3450013,3700708,3977558,2083326,5386430,4334284,4340915,4366836,5165829,4254230,6031495,5602444,5029521,4582066,4564230,2994160,5674011,6421018,3913869,4670626,3456445,1460943,5415588,0
1731936047.1157305,3948705,3401234,3640296,3919260,2083394,5483089,4256863,4272558,4294587,4976386,4185788,6030092,5556380,4934899,4494142,4485275,2933520,5724147,6423316,3851709,4581362,3374367,1148602,5362501,0
1731936047.122425,3877070,3350952,3585822,3848931,2083298,5546239,4178107,4188298,4210556,4818014,4109875,6021431,5507939,4842972,4412963,4399004,2867857,5752550,6424670,3773674,4494648,3296467,900526,5294094,0
1731936047.1310408,3826361,3315174,3549807,3812141,2083312,5593825,4119332,4128120,4160614,4669140,4071345,6019677,5467309,4765453,4355553,4344734,2833208,5766107,6425168,3720676,4436028,3242463,673118,5218358,0
1731936047.1322532,3792298,3285929,3524966,3771426,2083299,5623225,4076937,4080573,4107347,4517547,4028419,6005819,5436045,4699476,4309911,4289582,2792904,5769638,6419087,3670383,4385002,3190673,470587,5135052,0
