1731934436.3535652,-95486,8636,8677,-6644,2083387,1401284,3567,7683,12093,6561,77826,2641597,-4140439,-489045,-389158,-257199,-135875,3424,15094,15018,12530,10352,100626,1209953,0
1731934436.3545008,-91980,12158,11942,-3452,2083285,2241168,6297,7813,14781,9949,81096,3021424,-4130567,22589,9782,30409,72797,680903,16327,18590,14758,13570,103615,1815715,0
1731934436.3554268,-90048,13221,12156,-4020,2083413,2971226,8145,7856,15017,9164,78628,3331212,968394,23664,9908,29779,70471,1339811,18196,19717,15078,12944,101262,2345434,0
1731934436.356919,-92900,9991,8818,-7476,2083301,3586554,5136,7415,11910,5809,77889,3573382,-3953397,-47128,-277038,-385359,-448360,1191,15253,16288,12376,9414,99055,2790572,0
1731934436.3578653,-95592,7917,7107,-8743,2083354,4096473,3825,7928,12207,6090,78075,3769964,-4140205,-618264,-669601,-649049,-708363,170,15480,14219,12671,8176,97791,3166925,0
1731934436.3588107,-95063,8624,8236,-7267,2083295,4501615,3791,7763,12185,6004,77917,3919324,-4139607,-490084,-466795,-390056,-288280,2453,15513,15084,12665,9649,99955,3480093,0
1731934436.3604553,-93353,10462,10178,-5228,2083253,4826285,4906,7475,13000,8195,78679,4042221,-4134810,-120601,-67150,17430,68829,3765,15290,16883,12826,11791,101317,3737050,0
1731934436.3614285,-90421,13548,13260,-2046,2083315,5069427,7913,7708,16194,11271,82289,4131339,-3883986,24195,11126,31566,74074,868937,17875,20115,16164,14955,104982,3947452,0
1731934436.3623948,-88919,14112,13070,-3146,2083401,5251558,9134,8420,15853,9947,79179,4208450,3240406,24684,10831,30701,71238,1553820,19291,20634,15989,13888,102131,4115087,0
1731934436.3789616,-92499,10430,8932,-7235,2083276,5382264,5692,7382,11704,5884,77843,4260059,-609259,21067,5663,-307305,-389345,1177,15827,16848,12271,9691,99220,4249099,0
1731934436.3815417,-95645,7801,7082,-8713,2083389,5480350,3732,7720,12248,6006,78034,4306061,-4140276,-597930,-650352,-631817,-675205,212,15261,14217,12565,8195,97752,4361323,0
1731934436.3842335,-95139,8832,8384,-7153,2083321,5546594,3750,7632,12078,6108,77783,4337571,-4139462,-465219,-431902,-335999,-233987,2637,15299,15169,12571,9864,100311,4440712,0
